 	Area	Mean	X	Y	XM	YM
3468	3501	127.562	331.459	245.731	331.580	245.729
3469	3511	127.106	330.595	245.546	330.722	245.548
3470	3519	127.264	330.350	245.652	330.468	245.660
3471	3504	127.137	329.654	245.647	329.779	245.664
3472	3495	127.597	329.238	245.529	329.364	245.531
3473	3513	127.471	328.832	245.444	328.948	245.450
3474	3499	127.362	328.706	244.944	328.810	244.957
3475	3509	127.212	328.472	244.602	328.582	244.625
3476	3511	127.375	328.114	244.373	328.221	244.389
3477	3499	127.657	328.575	244.354	328.690	244.372
3478	3496	127.849	328.159	244.659	328.272	244.670
3479	3503	127.722	328.276	244.518	328.404	244.522
3480	3502	127.602	327.750	244.699	327.885	244.701
3481	3502	127.637	327.829	245.494	327.958	245.498
3482	3499	127.565	327.423	245.501	327.571	245.503
3483	3514	127.809	327.828	245.370	327.966	245.388
3484	3500	127.667	327.747	245.532	327.886	245.538
3485	3508	127.615	327.721	246.066	327.867	246.063
3486	3519	127.718	327.669	246.639	327.814	246.632
3487	3503	127.882	327.673	246.435	327.816	246.424
3488	3499	127.863	327.520	245.893	327.668	245.884
3489	3512	127.811	327.608	245.986	327.741	245.991
3490	3507	127.556	327.827	245.674	327.976	245.681
3491	3514	127.398	327.783	245.526	327.912	245.532
3492	3503	126.908	327.610	245.436	327.728	245.430
3493	3511	126.683	327.819	244.900	327.951	244.889
3494	3506	127.180	328.484	244.358	328.615	244.360
3495	3496	127.632	328.219	244.729	328.342	244.730
3496	3500	127.622	328.905	244.859	329.020	244.854
3497	3511	127.456	328.484	245.295	328.609	245.296
3498	3509	127.729	328.569	244.822	328.672	244.806
3499	3510	127.292	327.899	245.861	328.004	245.843
3500	3517	127.236	327.867	246.059	327.983	246.057
3501	3502	127.135	327.639	246.119	327.756	246.101
3502	3508	127.235	327.572	246.115	327.684	246.109
3503	3515	127.006	327.738	246.134	327.851	246.151
3504	3513	127.250	327.292	246.412	327.409	246.424
3505	3512	126.923	326.814	246.644	326.939	246.631
3506	3515	127.335	326.923	247.074	327.053	247.072
3507	3515	127.281	327.377	246.559	327.498	246.553
3508	3523	126.972	327.515	246.665	327.621	246.653
3509	3526	127.404	327.855	246.374	327.968	246.355
